Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.635,0.506,0
C2,Top,0.871,1.69,0
C3,Top,0.84,1.568,270
C4,Top,1.346,1.353,270
C5,Top,1.351,0.251,180
C7,Top,1.62,1.482,270
C8,Top,1.361,1.504,90
C9,Top,1.426,1.45,90
C10,Top,0.617,1.248,90
C11,Top,0.687,1.248,270
C12,Top,1.346,1.233,90
C13,Top,1.324,0.3,0
C14,Top,1.054,0.987,180
C15,Top,0.737,1.248,270
C16,Top,0.971,0.805,180
C17,Top,0.978,0.201,0
D1,Top,1.77,2.086,180
D2,Top,0.089,2.082,90
R1,Top,1.23,0.173,0
R2,Top,0.656,1.732,0
R3,Top,1.316,1.612,0
R4,Top,1.426,1.542,270
R5,Top,0.745,0.913,90
R6,Top,1.191,1.657,0
R7,Top,0.939,1.732,0
R8,Top,1.571,1.939,0
R9,Top,0.423,1.913,270
R10,Top,1.293,1.015,180
R11,Top,0.352,0.083,0
R12,Top,0.352,0.154,180
R13,Top,1.707,0.067,180
R14,Top,1.707,0.179,180
R15,Top,1.386,1.15,90
R16,Top,1.138,0.898,180
R19,Top,0.701,2.081,0
SW1,Top,0.362,1.713,90
SW2,Top,1.957,1.711,90
SW3,Top,1.439,0.931,180
U$1,Top,1.144,1.865,0
U$2,Top,0.965,0.507,180
U$3,Top,0.996,2.065,180
U$20,Top,0.843,1.791,0
U3,Top,0.809,1.077,90
U7,Top,0.234,0.081,0
U8,Top,0.969,0.913,0
U13,Top,1.738,0.094,90
U18,Top,1.512,1.478,180
U21,Top,0.545,1.815,180
U23,Top,1.522,1.766,180
U25,Top,1.611,2.141,270
X2,Top,0.722,1.585,0
X4,Top,1.366,0.415,270
